GO Term	Fold Change	MEGAN	EggNOG	MetaGOmics	MPA	Prophane	Unipept
nitrite reductase activity	FC (WS / NS)	-0.42 (4.52 / 6.41)	-	-	-	-	-0.48 (3.81 / 5.71)
 	Percentile (%)	86.894	-	-	-	-	85.581
imidazolonepropionase activity	FC (WS / NS)	-0.43 (4.25 / 6.09)	-	-0.45 (4 / 5.83)	-3.73 (0 / 12.27)	-	-0.5 (4.09 / 6.19)
 	Percentile (%)	86.961	-	80.964	98.765	-	85.868
polyamine-transporting ATPase activity	FC (WS / NS)	-0.46 (4.58 / 6.67)	-	-	-3.5 (0 / 10.29)	-	-0.55 (3.7 / 5.86)
 	Percentile (%)	87.028	-	-	97.603	-	87.63
DNA ligase (ATP) activity	FC (WS / NS)	-0.46 (2.32 / 3.58)	-	-	-0.3 (-0.19 / 0)	-	-0.54 (2.81 / 4.55)
 	Percentile (%)	87.061	-	-	72.331	-	87.594
nitrite reductase (cytochrome, ammonia-forming) activity	FC (WS / NS)	-0.47 (4.32 / 6.39)	-0.64 (3.17 / 5.49)	-0.51 (3.32 / 5.17)	-	-	-0.54 (3.58 / 5.66)
 	Percentile (%)	87.195	74.397	82.194	-	-	86.552
glycerophosphodiester phosphodiesterase activity	FC (WS / NS)	-0.47 (4.46 / 6.58)	-0.35 (4.46 / 5.95)	-0.46 (4.46 / 6.49)	-2.32 (0 / 4)	-	-0.52 (4.39 / 6.75)
 	Percentile (%)	87.228	69.501	81.013	87.146	-	86.444
type I site-specific deoxyribonuclease activity	FC (WS / NS)	-0.48 (2 / 3.17)	-	-	-	-	-0.45 (2.58 / 3.91)
 	Percentile (%)	87.262	-	-	-	-	85.113
citrate (pro-3S)-lyase activity	FC (WS / NS)	-0.48 (5.25 / 7.7)	1.46 (4.25 / 0.91)	-0.47 (4.52 / 6.66)	-3.74 (0 / 12.36)	-	-0.46 (4.64 / 6.74)
 	Percentile (%)	87.295	4.777	81.21	98.983	-	85.149
adenosylmethionine-8-amino-7-oxononanoate transaminase activity	FC (WS / NS)	-0.48 (2.58 / 4)	-2.17 (0 / 3.49)	-0.98 (1.58 / 4.09)	-3.17 (0 / 8.02)	-	-1.37 (1 / 4.15)
 	Percentile (%)	87.362	92.142	85.981	93.682	-	96.081
histidinol-phosphatase activity	FC (WS / NS)	-0.48 (2.58 / 4)	-	-	-	-	0.07 (1 / 0.91)
 	Percentile (%)	87.396	-	-	-	-	41.172
anion:cation symporter activity	FC (WS / NS)	-0.48 (2.58 / 4)	-	-	-	-	-
 	Percentile (%)	87.429	-	-	-	-	-
histidine ammonia-lyase activity	FC (WS / NS)	-0.48 (4.95 / 7.33)	-	-0.47 (4.86 / 7.14)	-0.35 (9.93 / 12.9)	0.07 (-7.25 / -6.94)	-0.46 (5.09 / 7.36)
 	Percentile (%)	87.462	-	81.308	76.325	37.595	85.185
phenylalanine ammonia-lyase activity	FC (WS / NS)	-0.48 (4.95 / 7.33)	-	-	-	0.05 (-9.25 / -8.94)	-
 	Percentile (%)	87.563	-	-	-	41.278	-
ethanolamine ammonia-lyase activity	FC (WS / NS)	-0.5 (4.46 / 6.7)	-	-0.53 (3.7 / 5.78)	-0.38 (8.87 / 11.82)	0.13 (-9.08 / -8.4)	-0.5 (3.81 / 5.81)
 	Percentile (%)	87.596	-	82.341	77.487	31.419	86.12
ligase activity, forming carbon-sulfur bonds	FC (WS / NS)	-0.51 (6.6 / 9.83)	-	-0.32 (6.86 / 8.78)	-	-	-0.26 (5.52 / 6.82)
 	Percentile (%)	87.63	-	77.127	-	-	77.706
oxidoreductase activity, acting on the CH-CH group of donors, oxygen as acceptor	FC (WS / NS)	-0.51 (7.45 / 11.05)	-	-	-	-	-0.9 (1.58 / 3.81)
 	Percentile (%)	87.663	-	-	-	-	91.802
cytochrome-c oxidase activity	FC (WS / NS)	-0.53 (2 / 3.32)	-	-	-	-	0.35 (3.46 / 2.49)
 	Percentile (%)	87.73	-	-	-	-	16.325
glutamate racemase activity	FC (WS / NS)	-0.53 (2.32 / 3.81)	-0.16 (2.32 / 2.71)	-	-	-	-0.53 (2.32 / 3.81)
 	Percentile (%)	87.797	63.697	-	-	-	86.48
citrate CoA-transferase activity	FC (WS / NS)	-0.53 (3.7 / 5.81)	-	-0.49 (3.81 / 5.75)	-3.75 (0 / 12.47)	-	-0.51 (3.81 / 5.86)
 	Percentile (%)	87.83	-	81.653	99.056	-	86.3
acid-thiol ligase activity	FC (WS / NS)	-0.54 (5.64 / 8.64)	-	-0.36 (6.29 / 8.35)	-	-	-0.26 (5.52 / 6.82)
 	Percentile (%)	87.864	-	78.849	-	-	77.742
AMP nucleosidase activity	FC (WS / NS)	-0.54 (2.81 / 4.52)	-	-	-	-	-
 	Percentile (%)	87.897	-	-	-	-	-
adenosylhomocysteine nucleosidase activity	FC (WS / NS)	-0.54 (2.81 / 4.52)	1.93 (2.81 / 0)	-0.54 (2.81 / 4.52)	-	-	-0.29 (3.58 / 4.61)
 	Percentile (%)	87.93	1.887	82.391	-	-	78.317
methylthioadenosine nucleosidase activity	FC (WS / NS)	-0.54 (2.81 / 4.52)	1.93 (2.81 / 0)	-0.54 (2.81 / 4.52)	-	-	-0.41 (3.17 / 4.55)
 	Percentile (%)	87.964	1.911	82.44	-	-	84.035
S-methyltransferase activity	FC (WS / NS)	-0.56 (5.36 / 8.38)	-2.69 (0 / 5.46)	-	-3.08 (0 / 7.43)	-	-0.17 (4.58 / 5.3)
 	Percentile (%)	88.031	97.803	-	92.883	-	74.865
ferroxidase activity	FC (WS / NS)	-0.56 (4.09 / 6.52)	-0.51 (4.32 / 6.58)	-0.59 (4.17 / 6.78)	1.31 (10.4 / 3.58)	0.43 (-6.43 / -5.02)	0.34 (8.28 / 6.35)
 	Percentile (%)	88.064	72.582	83.276	8.279	8.017	16.685
structural constituent of cytoskeleton	FC (WS / NS)	-0.57 (2.58 / 4.32)	-1.04 (1.58 / 4.3)	-	-	-	-2.13 (0 / 3.36)
 	Percentile (%)	88.131	82.35	-	-	-	98.921
phosphoribosylaminoimidazole carboxylase activity	FC (WS / NS)	-0.58 (3.32 / 5.46)	1.73 (2.32 / 0)	-	-	-	0.07 (1 / 0.91)
 	Percentile (%)	88.164	2.866	-	-	-	41.244
5-(carboxyamino)imidazole ribonucleotide mutase activity	FC (WS / NS)	-0.58 (3.32 / 5.46)	1 (1 / 0)	-0.85 (2 / 4.39)	-	-	-0.77 (2.32 / 4.66)
 	Percentile (%)	88.198	8.311	85.293	-	-	90.004
glycerol-3-phosphate O-acyltransferase activity	FC (WS / NS)	-0.58 (1 / 2)	0.05 (2 / 1.91)	-	-	-	-0.69 (1 / 2.23)
 	Percentile (%)	88.231	40.076	-	-	-	88.853
CoA-ligase activity	FC (WS / NS)	-0.59 (4.46 / 7.23)	-	-1.39 (2.32 / 7.71)	-	-	-1.04 (2.58 / 6.38)
 	Percentile (%)	88.532	-	88.834	-	-	94.139
ferric-transporting ATPase activity	FC (WS / NS)	-0.61 (3 / 5.09)	-	-2.37 (0 / 4.17)	-0.18 (7.66 / 8.78)	-	-0.95 (2 / 4.81)
 	Percentile (%)	88.699	-	94.245	68.192	-	93.563
putrescine-importing ATPase activity	FC (WS / NS)	-0.61 (3 / 5.09)	-2.13 (0 / 3.36)	-	-3.36 (0 / 9.29)	-	-0.72 (2.32 / 4.49)
 	Percentile (%)	88.733	92.095	-	96.151	-	89.716
spermidine-importing ATPase activity	FC (WS / NS)	-0.61 (3 / 5.09)	-	-	-3.36 (0 / 9.29)	-	-0.72 (2.32 / 4.49)
 	Percentile (%)	88.766	-	-	96.224	-	89.752
carbohydrate-transporting ATPase activity	FC (WS / NS)	-0.61 (5.09 / 8.29)	0.06 (7.19 / 6.84)	-	-	-	-
 	Percentile (%)	88.967	37.425	-	-	-	-
anthranilate synthase activity	FC (WS / NS)	-0.61 (2 / 3.58)	-	-	-	-	-
 	Percentile (%)	89	-	-	-	-	-
4-amino-4-deoxychorismate synthase activity	FC (WS / NS)	-0.61 (2 / 3.58)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	89.034	29.329	-	-	-	-
monosaccharide transmembrane transporter activity	FC (WS / NS)	-0.63 (5.39 / 8.86)	0.08 (9.21 / 8.64)	-	-	-	-0.08 (7.01 / 7.46)
 	Percentile (%)	89.134	35.013	-	-	-	68.429
metallocarboxypeptidase activity	FC (WS / NS)	-0.65 (3.58 / 6.17)	0.14 (0 / -0.09)	-2.68 (0 / 5.43)	2.58 (4.98 / 0)	-	0.07 (6.02 / 5.71)
 	Percentile (%)	89.201	22.283	98.032	4.648	-	43.042
exoribonuclease II activity	FC (WS / NS)	-0.65 (2 / 3.7)	-	-	-	-	-0.39 (3 / 4.23)
 	Percentile (%)	89.234	-	-	-	-	83.531
5-methyltetrahydropteroyltriglutamate-homocysteine S-methyltransferase activity	FC (WS / NS)	-0.69 (1.58 / 3.17)	0.14 (0 / -0.09)	-	-	-	-0.76 (2 / 4.08)
 	Percentile (%)	89.368	22.068	-	-	-	89.932
formate dehydrogenase (NAD+) activity	FC (WS / NS)	-0.69 (4.75 / 8.3)	-2.24 (0 / 3.71)	-1.4 (1.58 / 5.81)	-3.65 (0 / 11.54)	0.1 (-12.03 / -11.27)	-0.81 (3 / 6.01)
 	Percentile (%)	89.435	92.524	88.982	98.475	34.345	90.579
intramolecular transferase activity, transferring amino groups	FC (WS / NS)	-0.72 (5.67 / 9.96)	-0.94 (3.81 / 8.21)	-1.15 (3.91 / 9.86)	-	-	-0.86 (4.09 / 8.23)
 	Percentile (%)	89.468	81.681	87.555	-	-	91.118
monosaccharide-transporting ATPase activity	FC (WS / NS)	-0.73 (3.81 / 6.98)	-	-	0.1 (7.81 / 7.23)	-	-0.08 (6.21 / 6.61)
 	Percentile (%)	89.535	-	-	24.183	-	68.249
enzyme inhibitor activity	FC (WS / NS)	-0.74 (1.58 / 3.32)	-0.33 (6.77 / 8.74)	-1.1 (3.81 / 9.3)	-	-	-0.33 (5.52 / 7.18)
 	Percentile (%)	89.636	68.999	86.768	-	-	82.452
dihydrofolate synthase activity	FC (WS / NS)	-0.74 (1.58 / 3.32)	-	-	0 (0 / 0)	-	-2.17 (0 / 3.49)
 	Percentile (%)	89.702	-	-	44.662	-	99.101
6,7-dimethyl-8-ribityllumazine synthase activity	FC (WS / NS)	-0.77 (2.58 / 5.13)	-0.69 (2.81 / 5.15)	-0.66 (2.81 / 5)	-0.04 (5.46 / 5.64)	-	-0.7 (2.81 / 5.19)
 	Percentile (%)	89.736	75.257	83.768	54.466	-	89.428
polyamine binding	FC (WS / NS)	-0.83 (2.58 / 5.39)	-	-0.92 (2.81 / 6.21)	-	-	-0.56 (3.58 / 5.74)
 	Percentile (%)	89.836	-	85.686	-	-	87.774
pyridoxal kinase activity	FC (WS / NS)	-0.84 (1 / 2.58)	-	-	-	-	-0.31 (2 / 2.71)
 	Percentile (%)	89.87	-	-	-	-	79.072
citryl-CoA lyase activity	FC (WS / NS)	-0.88 (2.58 / 5.58)	0.91 (2.58 / 0.91)	-0.65 (3.17 / 5.55)	-	-	-2.72 (0 / 5.61)
 	Percentile (%)	89.936	9.553	83.669	-	-	99.82
organic acid:sodium symporter activity	FC (WS / NS)	-0.9 (4.46 / 9.21)	-	-	-3.33 (0 / 9.09)	-	-
 	Percentile (%)	90.003	-	-	95.715	-	-
CoA-transferase activity	FC (WS / NS)	-0.95 (6.13 / 12.75)	-	-	-4.02 (0 / 15.26)	-	-0.91 (4.64 / 9.63)
 	Percentile (%)	90.037	-	-	100	-	91.873
D-lactate dehydrogenase activity	FC (WS / NS)	-0.95 (3.46 / 7.61)	-2.51 (0 / 4.71)	0.19 (5.78 / 4.95)	0 (0 / 0)	-	-
 	Percentile (%)	90.07	93.695	23.217	44.59	-	-
glyoxylate reductase activity	FC (WS / NS)	-0.95 (3.46 / 7.61)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	90.104	29.615	-	-	-	-
pentose transmembrane transporter activity	FC (WS / NS)	-0.95 (2.58 / 5.93)	-	-	-	-	-
 	Percentile (%)	90.137	-	-	-	-	-
carbohydrate-importing ATPase activity	FC (WS / NS)	-0.95 (2.58 / 5.93)	-	-2.35 (0 / 4.09)	-	-	-
 	Percentile (%)	90.171	-	93.901	-	-	-
glutathione peroxidase activity	FC (WS / NS)	-0.95 (1.58 / 4)	-	-1.29 (1 / 3.91)	-	-	-0.58 (3 / 4.99)
 	Percentile (%)	90.237	-	88.342	-	-	87.954
S-adenosylmethionine-homocysteine S-methyltransferase activity	FC (WS / NS)	-0.96 (2.58 / 5.95)	-2.27 (0 / 3.81)	-	-	-	-
 	Percentile (%)	90.304	92.763	-	-	-	-
nicotinamide-nucleotide adenylyltransferase activity	FC (WS / NS)	-1 (0 / 1)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	90.371	21.376	-	-	-	-
CDP-diacylglycerol-serine O-phosphatidyltransferase activity	FC (WS / NS)	-1 (0 / 1)	0.14 (0 / -0.09)	-	-	-	-1.54 (0 / 1.91)
 	Percentile (%)	90.405	22.116	-	-	-	96.476
acetylglutamate kinase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-0.32 (1 / 1.49)
 	Percentile (%)	90.438	-	-	-	-	79.432
coproporphyrinogen oxidase activity	FC (WS / NS)	-1 (0 / 1)	0.14 (0 / -0.09)	-	-	-	0.14 (0 / -0.09)
 	Percentile (%)	90.471	22.235	-	-	-	29.917
amylo-alpha-1,6-glucosidase activity	FC (WS / NS)	-1 (0 / 1)	0.53 (2.58 / 1.49)	-	-	-	-
 	Percentile (%)	90.505	12.467	-	-	-	-
threonine-type endopeptidase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	0.42 (2.32 / 1.49)
 	Percentile (%)	90.538	-	-	-	-	14.635
mRNA (guanine-N7-)-methyltransferase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-0.32 (1.58 / 2.23)
 	Percentile (%)	90.572	-	-	-	-	82.093
deoxyribonuclease I activity	FC (WS / NS)	-1 (0 / 1)	-	-	0 (0 / 0)	-	-
 	Percentile (%)	90.605	-	-	44.009	-	-
lysophospholipase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	90.639	-	-	-	-	-
Rab geranylgeranyltransferase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	90.672	-	-	-	-	-
selenide, water dikinase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	90.705	-	-	-	-	-
Rab GDP-dissociation inhibitor activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	90.739	-	-	-	-	-
[citrate (pro-3S)-lyase] ligase activity	FC (WS / NS)	-1 (0 / 1)	-0.93 (0 / 0.91)	-	-	-	-
 	Percentile (%)	91.107	78.696	-	-	-	-
dCTP deaminase activity	FC (WS / NS)	-1 (0 / 1)	-0.93 (0 / 0.91)	-	-	-	-
 	Percentile (%)	91.14	78.72	-	-	-	-
nicotinate-nucleotide-dimethylbenzimidazole phosphoribosyltransferase activity	FC (WS / NS)	-1 (0 / 1)	-0.93 (0 / 0.91)	-	-	-	-
 	Percentile (%)	91.174	78.791	-	-	-	-
ferrous iron transmembrane transporter activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	0.15 (2.58 / 2.23)
 	Percentile (%)	91.207	-	-	-	-	27.868
sodium-dependent phosphate transmembrane transporter activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-0.54 (1 / 1.91)
 	Percentile (%)	91.24	-	-	-	-	86.947
5-formyltetrahydrofolate cyclo-ligase activity	FC (WS / NS)	-1 (0 / 1)	-	-0.25 (5.43 / 6.64)	-	-	0.05 (1.58 / 1.49)
 	Percentile (%)	91.508	-	74.324	-	-	45.451
licheninase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	91.642	-	-	-	-	-
arabinan endo-1,5-alpha-L-arabinosidase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	91.708	-	-	-	-	-
methylaspartate mutase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-1.97 (0 / 2.91)
 	Percentile (%)	91.742	-	-	-	-	98.598
phosphatidylcholine synthase activity	FC (WS / NS)	-1 (0 / 1)	-	-	-	-	-
 	Percentile (%)	91.775	-	-	-	-	-
coproporphyrinogen dehydrogenase activity	FC (WS / NS)	-1 (0 / 1)	0.14 (0 / -0.09)	-	-	-	-
 	Percentile (%)	91.842	30.571	-	-	-	-
inositol monophosphate phosphatase activity	FC (WS / NS)	-1 (2 / 5)	-	-	-	-	-1.17 (1.58 / 4.81)
 	Percentile (%)	91.876	-	-	-	-	94.606
acyl-CoA dehydrogenase activity	FC (WS / NS)	-1.01 (4.58 / 10.29)	-0.69 (1 / 2.23)	-	-3.85 (0 / 13.42)	-	-1.1 (3.58 / 8.81)
 	Percentile (%)	92.11	75.042	-	99.855	-	94.391
NAD(P)+ transhydrogenase (AB-specific) activity	FC (WS / NS)	-1.02 (2 / 5.09)	-1.29 (1 / 3.91)	-1.37 (1 / 4.17)	-1.58 (0 / 2)	-	-1 (1.58 / 4.15)
 	Percentile (%)	92.143	83.473	88.736	84.967	-	93.959
long-chain fatty acid-CoA ligase activity	FC (WS / NS)	-1.04 (2.58 / 6.36)	-0.93 (0 / 0.91)	-2.68 (0 / 5.39)	-	-	-2.66 (0 / 5.33)
 	Percentile (%)	92.21	77.765	97.934	-	-	99.676
glycerone kinase activity	FC (WS / NS)	-1.07 (2 / 5.29)	-2.29 (0 / 3.91)	-	0.13 (14.09 / 12.79)	-	0 (6.86 / 6.84)
 	Percentile (%)	92.243	92.883	-	20.261	-	57.677
phosphatidylinositol binding	FC (WS / NS)	-1.11 (1 / 3.32)	-	-	-	-	-0.07 (2.32 / 2.49)
 	Percentile (%)	92.31	-	-	-	-	67.889
lipid-A-disaccharide synthase activity	FC (WS / NS)	-1.16 (1 / 3.46)	-	-	-	-	-
 	Percentile (%)	92.411	-	-	-	-	-
biotin synthase activity	FC (WS / NS)	-1.2 (1 / 3.58)	0.14 (0 / -0.09)	-1 (1.58 / 4.17)	-1.58 (0 / 2)	-	-1.05 (1.58 / 4.36)
 	Percentile (%)	92.444	22.212	86.276	84.749	-	94.211
uracil DNA N-glycosylase activity	FC (WS / NS)	-1.27 (1 / 3.81)	-0.42 (2.58 / 3.81)	-1.32 (1 / 4)	-	-	-0.92 (1.58 / 3.91)
 	Percentile (%)	92.477	70.623	88.49	-	-	91.909
acyl-CoA oxidase activity	FC (WS / NS)	-1.28 (3 / 8.69)	-	-	-	-	-
 	Percentile (%)	92.544	-	-	-	-	-
methylenetetrahydrofolate reductase (NAD(P)H) activity	FC (WS / NS)	-1.29 (1 / 3.91)	-2.2 (0 / 3.61)	-1.32 (1 / 4)	-3.33 (0 / 9.05)	-	-1.39 (1 / 4.23)
 	Percentile (%)	92.578	92.31	88.441	95.57	-	96.152
lipopolysaccharide heptosyltransferase activity	FC (WS / NS)	-1.32 (1 / 4)	-1.54 (0 / 1.91)	-	-	-	-
 	Percentile (%)	92.678	87.222	-	-	-	-
fatty-acyl-CoA binding	FC (WS / NS)	-1.37 (0 / 1.58)	-	-	-	-	-
 	Percentile (%)	92.812	-	-	-	-	-
arylsulfatase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-	-	-	-	-
 	Percentile (%)	92.845	-	-	-	-	-
2-dehydro-3-deoxy-6-phosphogalactonate aldolase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-	-	-	-	-
 	Percentile (%)	92.946	-	-	-	-	-
2-dehydro-3-deoxy-phosphogluconate aldolase activity	FC (WS / NS)	-1.37 (0 / 1.58)	0.14 (0 / -0.09)	-	-	-	-0.69 (1 / 2.23)
 	Percentile (%)	92.979	24.027	-	-	-	88.925
4-hydroxy-2-oxoglutarate aldolase activity	FC (WS / NS)	-1.37 (0 / 1.58)	0.14 (0 / -0.09)	-	-	-	-0.69 (1 / 2.23)
 	Percentile (%)	93.012	24.075	-	-	-	88.997
cobinamide phosphate guanylyltransferase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-1.32 (0 / 1.49)	-	-	-	-
 	Percentile (%)	93.046	84.93	-	-	-	-
glucarate dehydratase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-	-	-	-	-
 	Percentile (%)	93.079	-	-	-	-	-
serine O-acetyltransferase activity	FC (WS / NS)	-1.37 (0 / 1.58)	0.14 (0 / -0.09)	-	0 (0 / 0)	-	-
 	Percentile (%)	93.113	24.385	-	44.808	-	-
glycine reductase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-1.97 (0 / 2.91)	-2.81 (0 / 6.02)	-2.88 (0 / 6.34)	-	-2.77 (0 / 5.81)
 	Percentile (%)	93.213	91.091	98.918	90.704	-	99.856
sarcosine reductase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-	-	-	-	-
 	Percentile (%)	93.246	-	-	-	-	-
betaine reductase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-	-	-	-	-
 	Percentile (%)	93.28	-	-	-	-	-
adenosylcobinamide kinase activity	FC (WS / NS)	-1.37 (0 / 1.58)	-	-	-	-	-
 	Percentile (%)	93.347	-	-	-	-	-
cystathionine beta-lyase activity	FC (WS / NS)	-1.4 (2.58 / 8.46)	-	-	-	-	-0.07 (3.17 / 3.36)
 	Percentile (%)	93.447	-	-	-	-	67.206
neutral amino acid transmembrane transporter activity	FC (WS / NS)	-1.4 (2.32 / 7.77)	-	-0.03 (5.95 / 6.11)	-	-	-
 	Percentile (%)	93.48	-	58.436	-	-	-
guanylyltransferase activity	FC (WS / NS)	-1.49 (2.32 / 8.33)	-	-	-	-	-
 	Percentile (%)	93.547	-	-	-	-	-
methylated-DNA-[protein]-cysteine S-methyltransferase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-1.58 (0 / 2)	-	0.26 (3.46 / 2.71)
 	Percentile (%)	93.648	-	-	84.677	-	20.101
glutamate decarboxylase activity	FC (WS / NS)	-1.58 (0 / 2)	-0.93 (0 / 0.91)	-	-	-	-
 	Percentile (%)	93.681	77.717	-	-	-	-
anion channel activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-
 	Percentile (%)	93.714	-	-	-	-	-
neurotransmitter:sodium symporter activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-
 	Percentile (%)	93.748	-	-	-	-	-
4-deoxy-L-threo-5-hexosulose-uronate ketol-isomerase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-1.8 (0 / 2.49)
 	Percentile (%)	93.915	-	-	-	-	97.843
diaminopimelate epimerase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-1.32 (0 / 1.49)
 	Percentile (%)	93.949	-	-	-	-	95.289
lytic transglycosylase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-
 	Percentile (%)	93.982	-	-	-	-	-
1-phosphatidylinositol-3-kinase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-
 	Percentile (%)	94.049	-	-	-	-	-
sodium ion binding	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-
 	Percentile (%)	94.116	-	-	-	-	-
ribonuclease D activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-
 	Percentile (%)	94.183	-	-	-	-	-
fucose binding	FC (WS / NS)	-1.58 (0 / 2)	-	-	-	-	-
 	Percentile (%)	94.283	-	-	-	-	-
glucose-1-phosphate cytidylyltransferase activity	FC (WS / NS)	-1.58 (0 / 2)	-	-	0 (0 / 0)	-	-
 	Percentile (%)	94.417	-	-	45.316	-	-
methionine synthase activity	FC (WS / NS)	-1.61 (1 / 5.09)	-2.27 (0 / 3.81)	-1.17 (1.58 / 4.81)	-3.07 (0 / 7.4)	-	-0.26 (3.17 / 3.99)
 	Percentile (%)	94.617	92.739	87.752	92.665	-	77.598
ATP citrate synthase activity	FC (WS / NS)	-1.66 (1 / 5.32)	-	-	-	-	-
 	Percentile (%)	94.651	-	-	-	-	-
succinate-CoA ligase (ADP-forming) activity	FC (WS / NS)	-1.66 (1 / 5.32)	-2.29 (0 / 3.91)	-2.45 (0 / 4.46)	-	-	-2.51 (0 / 4.71)
 	Percentile (%)	94.684	92.907	95.868	-	-	99.533
benzoyl-CoA reductase activity	FC (WS / NS)	-1.7 (1 / 5.49)	-	-	-	-	-
 	Percentile (%)	94.717	-	-	-	-	-
cystathionine gamma-synthase activity	FC (WS / NS)	-1.7 (1.58 / 7.39)	-	-0.92 (1.58 / 3.91)	-2 (0 / 3)	-	-0.4 (3.17 / 4.49)
 	Percentile (%)	94.751	-	85.735	86.129	-	83.891
cystathionine gamma-lyase activity	FC (WS / NS)	-1.7 (1.58 / 7.39)	-1.54 (0 / 1.91)	-1.39 (1 / 4.25)	-1.37 (0 / 1.58)	-	-
 	Percentile (%)	94.784	86.816	88.883	84.023	-	-
methionine gamma-lyase activity	FC (WS / NS)	-1.7 (1.58 / 7.39)	-3.03 (0 / 7.19)	-3.03 (0 / 7.17)	-3.81 (0 / 12.98)	-	-3.05 (0 / 7.3)
 	Percentile (%)	94.818	99.26	99.361	99.492	-	99.928
L-cystine L-cysteine-lyase (deaminating)	FC (WS / NS)	-1.7 (1.58 / 7.39)	-	-2.23 (0 / 3.7)	-	-	-
 	Percentile (%)	94.851	-	92.917	-	-	-
L-cysteine desulfhydrase activity	FC (WS / NS)	-1.7 (1.58 / 7.39)	-0.69 (1 / 2.23)	-0.27 (5.55 / 6.92)	-	-	-
 	Percentile (%)	94.918	75.209	75.061	-	-	-
homoserine O-succinyltransferase activity	FC (WS / NS)	-1.73 (0 / 2.32)	-1.54 (0 / 1.91)	-	0 (0 / 0)	-	-0.52 (1.58 / 2.71)
 	Percentile (%)	94.985	87.198	-	44.735	-	86.408
nitric oxide reductase activity	FC (WS / NS)	-1.73 (0 / 2.32)	-0.99 (2.58 / 6.13)	-0.3 (5.29 / 6.75)	-	-	-
 	Percentile (%)	95.018	81.992	76.783	-	-	-
alpha-L-arabinofuranosidase activity	FC (WS / NS)	-1.73 (0 / 2.32)	-	-	-1.58 (0 / 2)	-	-1.69 (0 / 2.23)
 	Percentile (%)	95.085	-	-	85.185	-	97.447
protein dimerization activity	FC (WS / NS)	-1.73 (0 / 2.32)	-0.1 (7.03 / 7.63)	0.02 (10.2 / 10.02)	-	-	-0.01 (8.66 / 8.7)
 	Percentile (%)	95.119	61.261	46.286	-	-	60.518
N-acylglucosamine-6-phosphate 2-epimerase activity	FC (WS / NS)	-1.73 (0 / 2.32)	0.14 (0 / -0.09)	-	-	-	-0.97 (1 / 2.91)
 	Percentile (%)	95.152	29.472	-	-	-	93.815
sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity	FC (WS / NS)	-1.73 (1 / 5.64)	-	-2.37 (0 / 4.17)	-2.73 (0 / 5.61)	-	-
 	Percentile (%)	95.186	-	94.491	89.47	-	-
peptidase regulator activity	FC (WS / NS)	-1.73 (0 / 2.32)	-3.27 (0 / 8.68)	-1.72 (2 / 8.88)	-1.15 (5.37 / 13.11)	-	-0.34 (5.49 / 7.2)
 	Percentile (%)	95.219	99.928	90.31	83.733	-	82.596
5-aminolevulinate synthase activity	FC (WS / NS)	-1.84 (0 / 2.58)	-	-	-	-	-
 	Percentile (%)	95.353	-	-	-	-	-
acetyl-CoA:L-glutamate N-acetyltransferase activity	FC (WS / NS)	-1.84 (0 / 2.58)	-	-	0 (0 / 0)	-	-
 	Percentile (%)	95.386	-	-	43.573	-	-
