GO Term	Fold Change	MPA	EggNOG	MEGAN	MetaGOmics	Prophane	Unipept
 	Percentile (%)	85.741	15.002	27.512	16.571	-	28.095
glycerophosphodiester phosphodiesterase activity	FC (WS / NS)	-2.32 (0 / 4)	-0.35 (4.46 / 5.95)	-0.47 (4.46 / 6.58)	-0.46 (4.46 / 6.49)	-	-0.52 (4.39 / 6.75)
 	Percentile (%)	85.882	65.165	85.008	78.19	-	84.862
mannosyl-glycoprotein endo-beta-N-acetylglucosaminidase activity	FC (WS / NS)	-2.32 (0 / 4)	-	0.16 (5.25 / 4.58)	-	-	0.19 (4.25 / 3.61)
 	Percentile (%)	86.116	-	26.574	-	-	26.09
phosphoric diester hydrolase activity	FC (WS / NS)	-2.33 (0.81 / 8.11)	-0.34 (5.52 / 7.26)	-0.09 (10.47 / 11.17)	-0.33 (6.04 / 7.83)	-0.05 (-6.1 / -6.28)	-0.36 (5.91 / 7.88)
 	Percentile (%)	86.538	65.01	75.647	74.571	51.632	81.378
D-lysine 5,6-aminomutase activity	FC (WS / NS)	-2.37 (0 / 4.17)	-	-	-	-	-
 	Percentile (%)	86.585	-	-	-	-	-
glutamine-tRNA ligase activity	FC (WS / NS)	-2.5 (0 / 4.64)	0.27 (4.09 / 3.23)	-0.01 (6.77 / 6.81)	-	-	0.12 (4.52 / 4.08)
 	Percentile (%)	86.726	21.478	66.812	-	-	36.241
2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-succinyltransferase activity	FC (WS / NS)	-2.5 (0 / 4.64)	-0.8 (1 / 2.49)	0.41 (4.52 / 3.17)	-	-0.57 (-7.17 / -10.19)	-1.8 (0 / 2.49)
 	Percentile (%)	86.82	72.853	16.8	-	86.584	97.794
N-succinyltransferase activity	FC (WS / NS)	-2.5 (0 / 4.64)	-0.58 (2 / 3.49)	0.13 (6.11 / 5.49)	-	-0.66 (-6.17 / -9.19)	-1.8 (0 / 2.49)
 	Percentile (%)	86.914	70.057	29	-	89.268	97.895
pyroglutamyl-peptidase activity	FC (WS / NS)	-2.5 (0 / 4.64)	-	-0.03 (3.7 / 3.81)	-	-	0 (3.7 / 3.71)
 	Percentile (%)	86.961	-	72.19	-	-	59.073
ADP-dependent NAD(P)H-hydrate dehydratase activity	FC (WS / NS)	-2.5 (0 / 4.64)	0.14 (0 / -0.09)	0 (0 / 0)	-	-	-0.69 (1 / 2.23)
 	Percentile (%)	87.008	31.62	63.859	-	-	88.546
homocysteine desulfhydrase activity	FC (WS / NS)	-2.51 (0 / 4.7)	-	-	-3.05 (0 / 7.29)	-	-
 	Percentile (%)	87.054	-	-	99.556	-	-
glutamate:sodium symporter activity	FC (WS / NS)	-2.58 (0 / 5)	-	-1.93 (0 / 2.81)	-2.47 (0 / 4.52)	-	-
 	Percentile (%)	87.242	-	96.452	94.857	-	-
sodium:dicarboxylate symporter activity	FC (WS / NS)	-2.58 (0 / 5)	-	-1.29 (1 / 3.91)	-2.64 (0 / 5.25)	-	-
 	Percentile (%)	87.477	-	92.195	96.984	-	-
protein transmembrane transporter activity	FC (WS / NS)	-2.63 (0 / 5.17)	-	-0.17 (7.92 / 9.02)	-	-	-0.16 (4.95 / 5.63)
 	Percentile (%)	87.57	-	79.377	-	-	71.178
P-P-bond-hydrolysis-driven protein transmembrane transporter activity	FC (WS / NS)	-2.63 (0 / 5.17)	-	-0.23 (6.49 / 7.79)	-	-	-0.2 (4.7 / 5.55)
 	Percentile (%)	87.617	-	81.369	-	-	73.759
RNA strand annealing activity	FC (WS / NS)	-2.63 (0 / 5.17)	-2.08 (0 / 3.23)	-	-2 (0 / 3)	-	-
 	Percentile (%)	87.664	91.489	-	90.095	-	-
RNA strand-exchange activity	FC (WS / NS)	-2.63 (0 / 5.17)	-2.08 (0 / 3.23)	-	-2 (0 / 3)	-	-
 	Percentile (%)	87.711	91.52	-	90.127	-	-
annealing activity	FC (WS / NS)	-2.63 (0 / 5.17)	-2.13 (0 / 3.36)	-	-2.32 (0 / 4)	-	-
 	Percentile (%)	87.758	91.738	-	92.794	-	-
macromolecule transmembrane transporter activity	FC (WS / NS)	-2.63 (0 / 5.21)	-0.03 (3.81 / 3.91)	-0.14 (8.73 / 9.75)	-	-	-0.15 (5 / 5.66)
 	Percentile (%)	87.852	54.325	78.393	-	-	70.827
succinate dehydrogenase (ubiquinone) activity	FC (WS / NS)	-2.72 (0 / 5.58)	1.58 (2 / 0)	-0.02 (9.12 / 9.29)	-0.92 (2.32 / 5.29)	-0.42 (-5.41 / -6.88)	-0.65 (3.91 / 6.69)
 	Percentile (%)	87.946	3.743	71	83.937	82.016	87.644
glycerol-3-phosphate dehydrogenase (quinone) activity	FC (WS / NS)	-2.73 (0 / 5.61)	-2.08 (0 / 3.23)	-1.2 (2.58 / 7.23)	-1.76 (1 / 5.78)	-	-1.24 (1 / 3.71)
 	Percentile (%)	88.274	91.334	91.943	89.46	-	94.486
methylmalonate-semialdehyde dehydrogenase (acylating) activity	FC (WS / NS)	-2.73 (0 / 5.61)	-	-0.1 (6.83 / 7.39)	-	-	-
 	Percentile (%)	88.321	-	76.539	-	-	-
oxidoreductase activity, acting on the CH-OH group of donors, quinone or similar compound as acceptor	FC (WS / NS)	-2.73 (0 / 5.61)	-2.39 (0 / 4.23)	-1.3 (3.17 / 9.26)	-1.27 (2 / 6.23)	-	-1.24 (1 / 3.71)
 	Percentile (%)	88.415	93.244	92.241	87.206	-	94.536
sn-glycerol-3-phosphate:ubiquinone oxidoreductase activity	FC (WS / NS)	-2.73 (0 / 5.61)	-	-1.35 (2 / 6.64)	-2.63 (0 / 5.17)	-	-
 	Percentile (%)	88.555	-	92.515	96.921	-	-
sn-glycerol-3-phosphate:ubiquinone-8 oxidoreductase activity	FC (WS / NS)	-2.73 (0 / 5.61)	-	-1.73 (1 / 5.64)	-2.37 (0 / 4.17)	-	-
 	Percentile (%)	88.602	-	95.193	93.46	-	-
secondary active p-aminobenzoyl-glutamate transmembrane transporter activity	FC (WS / NS)	-2.79 (0 / 5.91)	-	-	-2.32 (0 / 4)	-	-
 	Percentile (%)	88.884	-	-	92.508	-	-
oligopeptide transmembrane transporter activity	FC (WS / NS)	-2.79 (0 / 5.91)	-0.44 (2 / 3.08)	-	-2.18 (1 / 8.07)	-	-
 	Percentile (%)	89.071	67.169	-	91.238	-	-
dipeptide transmembrane transporter activity	FC (WS / NS)	-2.79 (0 / 5.91)	-	-	-3.03 (0 / 7.15)	-	-
 	Percentile (%)	89.165	-	-	99.429	-	-
modified amino acid transmembrane transporter activity	FC (WS / NS)	-2.79 (0 / 5.91)	-	-1 (0 / 1)	-0.07 (4 / 4.25)	-	-
 	Percentile (%)	89.259	-	91.119	58.063	-	-
3'-5'-exoribonuclease activity	FC (WS / NS)	-2.81 (0 / 6)	-0.15 (6.46 / 7.25)	-0.15 (6.49 / 7.34)	-	0.01 (-11.77 / -11.72)	-
 	Percentile (%)	89.353	59.093	78.737	-	45.25	-
butyryl-CoA dehydrogenase activity	FC (WS / NS)	-2.81 (0 / 6)	-	-	-1.62 (2 / 8.2)	-	-1.69 (2 / 8.68)
 	Percentile (%)	89.4	-	-	89.079	-	97.569
2',3'-cyclic-nucleotide 2'-phosphodiesterase activity	FC (WS / NS)	-2.81 (0 / 6)	-2.08 (0 / 3.23)	-0.17 (3.58 / 4.17)	-1.2 (1 / 3.58)	-0.1 (-10.65 / -11.36)	-1.17 (1 / 3.49)
 	Percentile (%)	89.447	91.412	79.515	86.54	57.143	94.311
tRNA nucleotidyltransferase activity	FC (WS / NS)	-2.81 (0 / 6)	-0.32 (2.58 / 3.49)	-0.35 (2.58 / 3.58)	-	-	-0.31 (2.81 / 3.71)
 	Percentile (%)	89.493	64.513	83.566	-	-	77.043
oxidoreductase activity, acting on the CH-CH group of donors, with a flavin as acceptor	FC (WS / NS)	-2.81 (0 / 6)	-	-	-1.35 (3 / 9.21)	-	-1.69 (2 / 8.68)
 	Percentile (%)	89.634	-	-	87.683	-	97.594
double-stranded RNA binding	FC (WS / NS)	-2.84 (0 / 6.17)	-2.54 (0 / 4.81)	0.06 (4.81 / 4.58)	-1.55 (1 / 4.86)	-	0.42 (5.17 / 3.61)
 	Percentile (%)	89.681	93.757	37.24	88.635	-	15.439
single-stranded RNA binding	FC (WS / NS)	-2.84 (0 / 6.17)	-2.54 (0 / 4.81)	0 (2.32 / 2.32)	-0.14 (7.77 / 8.68)	-	-0.93 (0 / 0.91)
 	Percentile (%)	89.728	93.772	53.742	66.032	-	91.579
3 iron, 4 sulfur cluster binding	FC (WS / NS)	-2.87 (0 / 6.32)	-0.05 (4.52 / 4.71)	-0.06 (8.2 / 8.56)	-	-0.13 (-7.32 / -7.93)	-0.29 (4.17 / 5.33)
 	Percentile (%)	89.822	55.459	74.067	-	59.971	76.291
phosphoprotein phosphatase activity	FC (WS / NS)	-2.88 (0 / 6.34)	-1.08 (1 / 3.23)	0.4 (8.19 / 5.95)	0.57 (6.27 / 3.91)	-	0.21 (5.61 / 4.71)
 	Percentile (%)	89.869	80.898	16.915	11.651	-	24.286
protein serine/threonine phosphatase activity	FC (WS / NS)	-2.88 (0 / 6.34)	-	0.79 (4.75 / 2.32)	0.62 (5.64 / 3.32)	-	0.47 (4.86 / 3.23)
 	Percentile (%)	89.916	-	13.207	10.952	-	13.784
galactose transmembrane transporter activity	FC (WS / NS)	-2.88 (0 / 6.34)	-2.66 (0 / 5.33)	-	-2.71 (0 / 5.55)	-	-1.42 (1.58 / 5.93)
 	Percentile (%)	89.962	96.894	-	97.683	-	96.09
hexose transmembrane transporter activity	FC (WS / NS)	-2.88 (0 / 6.34)	0.12 (8.27 / 7.55)	-2.63 (0 / 5.17)	0.09 (7.34 / 6.85)	-	-0.12 (5.67 / 6.23)
 	Percentile (%)	90.009	33.794	98.878	34.698	-	69.499
glycine reductase activity	FC (WS / NS)	-2.88 (0 / 6.34)	-1.97 (0 / 2.91)	-1.37 (0 / 1.58)	-2.81 (0 / 6.02)	-	-2.77 (0 / 5.81)
 	Percentile (%)	90.056	90.651	92.996	98.762	-	99.825
copper-exporting ATPase activity	FC (WS / NS)	-2.91 (0 / 6.51)	-	-0.02 (6.09 / 6.19)	-	-	0.16 (5.78 / 5.08)
 	Percentile (%)	90.197	-	70.451	-	-	28.02
copper ion transmembrane transporter activity	FC (WS / NS)	-2.91 (0 / 6.51)	-1.32 (0 / 1.49)	0.02 (8.81 / 8.68)	0.37 (6.63 / 4.91)	-	0.16 (5.78 / 5.08)
 	Percentile (%)	90.244	83.398	45.937	15.429	-	28.045
divalent inorganic cation transmembrane transporter activity	FC (WS / NS)	-2.91 (0 / 6.51)	-1.17 (1 / 3.49)	0.06 (10.46 / 9.98)	0.43 (5.61 / 3.91)	-	0.15 (5.93 / 5.26)
 	Percentile (%)	90.291	81.441	36.255	13.683	-	29.975
dicarboxylic acid transmembrane transporter activity	FC (WS / NS)	-2.91 (0 / 6.52)	-0.49 (2 / 3.23)	-0.9 (2.58 / 5.7)	-1.56 (1.58 / 6.63)	-	-0.6 (1.58 / 2.91)
 	Percentile (%)	90.338	68.101	87.915	88.667	-	87.143
ATPase activity, coupled to transmembrane movement of ions, phosphorylative mechanism	FC (WS / NS)	-2.91 (0 / 6.52)	0.65 (2 / 0.91)	0.03 (11.83 / 11.59)	0 (8.33 / 8.31)	0.62 (-4.27 / -3.12)	0.2 (7.06 / 6.01)
 	Percentile (%)	90.432	14.303	43.145	51.206	5.801	24.762
amide transmembrane transporter activity	FC (WS / NS)	-2.92 (0 / 6.58)	-0.41 (3.58 / 5.08)	-0.2 (8.71 / 10.19)	-2.18 (1 / 8.07)	-	-0.19 (5.13 / 5.99)
 	Percentile (%)	90.619	66.221	80.522	91.27	-	73.434
peptide transmembrane transporter activity	FC (WS / NS)	-2.92 (0 / 6.58)	-0.42 (3 / 4.36)	-0.17 (7.93 / 9.02)	-2.18 (1 / 8.07)	-	-0.16 (4.95 / 5.63)
 	Percentile (%)	90.666	66.392	79.309	91.302	-	71.228
porin activity	FC (WS / NS)	-2.93 (0 / 6.63)	-0.76 (3.46 / 6.55)	-0.34 (6.32 / 8.25)	-0.15 (8.13 / 9.13)	-	-0.73 (3.46 / 6.38)
 	Percentile (%)	90.994	72.325	83.314	66.571	-	88.972
wide pore channel activity	FC (WS / NS)	-2.93 (0 / 6.63)	-0.65 (4.46 / 7.55)	-0.3 (7.32 / 9.25)	-0.14 (9.13 / 10.13)	-	-0.73 (3.46 / 6.38)
 	Percentile (%)	91.041	71.114	82.811	65.619	-	88.997
regulatory region nucleic acid binding	FC (WS / NS)	-2.93 (0 / 6.64)	-0.71 (4.25 / 7.58)	-0.04 (5.58 / 5.75)	0.11 (8.4 / 7.73)	-	0.28 (4.46 / 3.49)
 	Percentile (%)	91.088	71.843	72.625	31.587	-	20.251
aldose 1-epimerase activity	FC (WS / NS)	-2.93 (0 / 6.64)	-	-0.2 (2.32 / 2.81)	-	-	-0.8 (1 / 2.49)
 	Percentile (%)	91.135	-	80.27	-	-	89.424
phosphoenolpyruvate carboxykinase (GTP) activity	FC (WS / NS)	-2.93 (0 / 6.64)	-	-2.27 (0 / 3.81)	-2.23 (0 / 3.7)	-	-2.24 (0 / 3.71)
 	Percentile (%)	91.182	-	97.459	91.746	-	99.223
L-malate dehydrogenase activity	FC (WS / NS)	-2.93 (0 / 6.64)	-0.5 (3.58 / 5.49)	0.19 (10.17 / 8.79)	0.11 (7.92 / 7.28)	-0.84 (-3.5 / -5.47)	-0.04 (6.36 / 6.55)
 	Percentile (%)	91.229	68.271	25.223	31.333	92.023	63.484
transcription regulatory region DNA binding	FC (WS / NS)	-2.93 (0 / 6.64)	-0.8 (3.7 / 7.19)	-0.02 (5 / 5.09)	0.11 (7.77 / 7.1)	-	0.28 (4.46 / 3.49)
 	Percentile (%)	91.276	72.791	70.611	30.286	-	20.276
butyrate-acetoacetate CoA-transferase activity	FC (WS / NS)	-2.94 (0 / 6.67)	-	-	-2.97 (0 / 6.83)	-	-
 	Percentile (%)	91.323	-	-	99.206	-	-
UDP-galactopyranose mutase activity	FC (WS / NS)	-2.98 (0 / 6.89)	0.07 (1 / 0.91)	0.42 (3 / 2)	-	-	0.37 (3.17 / 2.23)
 	Percentile (%)	91.37	36.947	16.571	-	-	17.318
tRNA (adenine-C2-)-methyltransferase activity	FC (WS / NS)	-2.99 (0 / 6.92)	1 (1 / 0)	1 (3 / 1)	-	-	1.07 (3 / 0.91)
 	Percentile (%)	91.51	8.231	8.629	-	-	6.967
tRNA (adenine) methyltransferase activity	FC (WS / NS)	-2.99 (0 / 6.92)	1.58 (2 / 0)	0.74 (4 / 2)	-	-	1.07 (3 / 0.91)
 	Percentile (%)	91.557	3.991	13.504	-	-	6.992
oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond	FC (WS / NS)	-2.99 (0 / 6.92)	-2.46 (0 / 4.49)	-2.29 (0 / 3.91)	-1.05 (3.58 / 8.52)	-	-1.52 (2 / 7.58)
 	Percentile (%)	91.651	93.508	97.734	85.111	-	96.19
oxidoreductase activity, acting on X-H and Y-H to form an X-Y bond, with a disulfide as acceptor	FC (WS / NS)	-2.99 (0 / 6.92)	-2.29 (0 / 3.91)	-2.2 (0 / 3.58)	-1.16 (3 / 7.93)	-	-1.52 (2 / 7.58)
 	Percentile (%)	91.698	92.825	97.345	86.317	-	96.216
rRNA (adenine-C2-)-methyltransferase activity	FC (WS / NS)	-2.99 (0 / 6.92)	1 (1 / 0)	1 (3 / 1)	-	-	1.07 (3 / 0.91)
 	Percentile (%)	91.745	11.135	11.765	-	-	7.143
tRNA methyltransferase activity	FC (WS / NS)	-3 (0 / 6.99)	0.83 (6.54 / 3.23)	0.14 (9.52 / 8.52)	-	-	0.11 (4.91 / 4.49)
 	Percentile (%)	91.932	12.704	28.038	-	-	38.045
acetolactate synthase activity	FC (WS / NS)	-3.07 (0 / 7.4)	0.14 (0 / -0.09)	1.29 (7.79 / 2.58)	1.52 (4.75 / 1)	-	0.6 (4.91 / 2.91)
 	Percentile (%)	92.12	25.92	7.691	5.048	-	11.404
3-deoxy-manno-octulosonate cytidylyltransferase activity	FC (WS / NS)	-3.07 (0 / 7.4)	0.14 (0 / -0.09)	0.16 (3 / 2.58)	-	-	-0.08 (3 / 3.23)
 	Percentile (%)	92.167	27.132	26.871	-	-	66.591
methionine synthase activity	FC (WS / NS)	-3.07 (0 / 7.4)	-2.27 (0 / 3.81)	-1.61 (1 / 5.09)	-1.17 (1.58 / 4.81)	-	-0.26 (3.17 / 3.99)
 	Percentile (%)	92.214	92.639	94.759	86.413	-	75.539
5-methyltetrahydrofolate-dependent methyltransferase activity	FC (WS / NS)	-3.07 (0 / 7.4)	-2.54 (0 / 4.81)	-1.24 (2 / 6.09)	-0.93 (2.58 / 5.81)	-	-0.26 (3.17 / 3.99)
 	Percentile (%)	92.355	93.741	91.989	84.063	-	75.564
cytidylyltransferase activity	FC (WS / NS)	-3.07 (0 / 7.41)	-0.93 (0 / 0.91)	0.16 (8.85 / 7.79)	2.11 (3.32 / 0)	-0.34 (-8.95 / -11.05)	0.2 (4.75 / 3.99)
 	Percentile (%)	92.402	78.77	26.505	3.302	77.592	24.461
S-methyltransferase activity	FC (WS / NS)	-3.08 (0 / 7.43)	-2.69 (0 / 5.46)	-0.56 (5.36 / 8.38)	-0.74 (3.17 / 5.95)	-	-0.17 (4.58 / 5.3)
 	Percentile (%)	92.448	97.003	85.992	82.127	-	72.982
tryptophanase activity	FC (WS / NS)	-3.1 (0 / 7.55)	-	-2.28 (1 / 8.74)	-3.07 (0 / 7.4)	-	-3.1 (0 / 7.59)
 	Percentile (%)	92.636	-	97.642	99.619	-	99.975
cyclic-nucleotide phosphodiesterase activity	FC (WS / NS)	-3.11 (-0.19 / 6)	-2.39 (0 / 4.23)	-0.04 (5.91 / 6.09)	-0.9 (2 / 4.58)	-0.11 (-9.65 / -10.36)	-0.47 (2.32 / 3.61)
 	Percentile (%)	92.683	93.213	72.671	83.492	58.086	83.709
dethiobiotin synthase activity	FC (WS / NS)	-3.11 (0 / 7.61)	-1.69 (0 / 2.23)	-1.84 (0 / 2.58)	-	-	-
 	Percentile (%)	92.73	88.212	95.399	-	-	-
hydroxymethylbilane synthase activity	FC (WS / NS)	-3.14 (0 / 7.81)	0.8 (3.32 / 1.49)	0.79 (3.46 / 1.58)	-	-	0.17 (3.58 / 3.08)
 	Percentile (%)	92.777	13.201	13.252	-	-	27.318
glutaconate CoA-transferase activity	FC (WS / NS)	-3.14 (0 / 7.85)	-	-	-3.19 (0 / 8.12)	-	-
 	Percentile (%)	93.011	-	-	99.841	-	-
adenosylmethionine-8-amino-7-oxononanoate transaminase activity	FC (WS / NS)	-3.17 (0 / 8.02)	-2.17 (0 / 3.49)	-0.48 (2.58 / 4)	-0.98 (1.58 / 4.09)	-	-1.37 (1 / 4.15)
 	Percentile (%)	93.34	91.893	85.122	84.413	-	95.965
oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen	FC (WS / NS)	-3.18 (0 / 8.09)	0.21 (8.55 / 7.26)	0.02 (10.59 / 10.44)	-1.23 (1 / 3.7)	0.35 (-6.21 / -5.08)	-0.29 (4.52 / 5.74)
 	Percentile (%)	93.386	23.451	46.212	86.984	10.66	76.216
phosphoribosylformylglycinamidine cyclo-ligase activity	FC (WS / NS)	-3.2 (0 / 8.17)	0.42 (3.32 / 2.23)	-0.05 (4.7 / 4.91)	-	-	0.12 (3.58 / 3.23)
 	Percentile (%)	93.433	17.332	73.61	-	-	36.692
DNA ligase (NAD+) activity	FC (WS / NS)	-3.2 (0 / 8.17)	-0.32 (3.46 / 4.55)	-0.38 (3.46 / 4.81)	-0.33 (3.7 / 4.91)	-	-0.33 (4 / 5.3)
 	Percentile (%)	93.48	63.581	84.138	74.698	-	80.852
dihydrolipoyllysine-residue acetyltransferase activity	FC (WS / NS)	-3.2 (0 / 8.17)	-0.44 (2 / 3.08)	-0.01 (5.21 / 5.25)	-	-	-0.1 (4.39 / 4.76)
 	Percentile (%)	93.527	67.138	67.407	-	-	67.995
S-acetyltransferase activity	FC (WS / NS)	-3.2 (0 / 8.17)	0.09 (4.39 / 4.08)	-0.01 (6.21 / 6.25)	-	-	-0.1 (4.39 / 4.76)
 	Percentile (%)	93.574	35.223	67.041	-	-	68.02
dihydrolipoamide S-acyltransferase activity	FC (WS / NS)	-3.2 (0 / 8.17)	-0.34 (3 / 4.08)	-0.01 (6.21 / 6.25)	-	-	-0.1 (4.39 / 4.76)
 	Percentile (%)	93.621	65.057	67.086	-	-	68.045
NADH dehydrogenase (ubiquinone) activity	FC (WS / NS)	-3.21 (0 / 8.23)	-0.89 (2 / 4.55)	0.11 (10.03 / 9.24)	-1.13 (1.58 / 4.64)	-0.3 (-9.01 / -10.88)	-0.31 (4.17 / 5.43)
 	Percentile (%)	93.715	73.723	31.037	86.127	75.635	77.118
quinone binding	FC (WS / NS)	-3.21 (0 / 8.23)	-	-0.22 (6.39 / 7.63)	-1.06 (1.58 / 4.39)	-0.21 (-8.17 / -9.31)	-1.05 (2 / 5.19)
 	Percentile (%)	93.762	-	81.231	85.206	65.845	93.96
NADH dehydrogenase (quinone) activity	FC (WS / NS)	-3.21 (0 / 8.23)	-0.71 (3 / 5.55)	0.1 (11.03 / 10.24)	-0.89 (2.58 / 5.64)	-0.34 (-8.01 / -9.88)	-0.31 (4.25 / 5.49)
 	Percentile (%)	93.809	71.952	31.907	83.429	77.81	76.642
dihydrolipoyllysine-residue succinyltransferase activity	FC (WS / NS)	-3.22 (0 / 8.34)	-1.8 (0 / 2.49)	-0.01 (5.21 / 5.25)	-2.57 (0 / 4.95)	-	-
 	Percentile (%)	93.856	88.865	67.384	96.063	-	-
S-succinyltransferase activity	FC (WS / NS)	-3.22 (0 / 8.34)	-2.17 (0 / 3.49)	-0.01 (6.21 / 6.25)	-1.8 (1 / 5.95)	-	-
 	Percentile (%)	93.902	91.971	67.063	89.714	-	-
aminomethyltransferase activity	FC (WS / NS)	-3.23 (0 / 8.4)	-1.8 (0 / 2.49)	-1.93 (0 / 2.81)	-	-	-2.03 (0 / 3.08)
 	Percentile (%)	94.137	88.849	96.338	-	-	98.772
succinyltransferase activity	FC (WS / NS)	-3.24 (0 / 8.45)	-0.64 (3.17 / 5.49)	0.02 (8.6 / 8.5)	-1.02 (2.81 / 6.7)	-0.73 (-5.59 / -8.61)	-0.62 (2 / 3.61)
 	Percentile (%)	94.325	70.927	47.173	84.889	90.355	87.368
thioredoxin-disulfide reductase activity	FC (WS / NS)	-3.26 (0 / 8.56)	-1.32 (0 / 1.49)	0.26 (5.17 / 4.17)	-0.32 (4.75 / 6.19)	-	-0.22 (4.91 / 5.86)
 	Percentile (%)	94.794	83.32	21.744	74.286	-	74.236
uridine phosphorylase activity	FC (WS / NS)	-3.27 (0 / 8.66)	-1.8 (0 / 2.49)	-2.06 (0 / 3.17)	-	-	-2.56 (0 / 4.91)
 	Percentile (%)	94.934	88.911	96.91	-	-	99.499
oxoglutarate dehydrogenase (succinyl-transferring) activity	FC (WS / NS)	-3.29 (0 / 8.78)	-2.32 (0 / 3.99)	-2.35 (0 / 4.09)	-2.39 (0 / 4.25)	-	-0.44 (3 / 4.43)
 	Percentile (%)	94.981	92.918	97.871	93.556	-	83.283
mechanosensitive ion channel activity	FC (WS / NS)	-3.29 (0 / 8.81)	-0.71 (1.58 / 3.23)	-	-	-	-0.3 (3.46 / 4.49)
 	Percentile (%)	95.028	71.875	-	-	-	76.516
porphobilinogen synthase activity	FC (WS / NS)	-3.3 (0 / 8.87)	-1.8 (0 / 2.49)	0.35 (4.32 / 3.17)	-	-	0.29 (4.32 / 3.36)
 	Percentile (%)	95.122	88.88	18.563	-	-	20.05
cyclo-ligase activity	FC (WS / NS)	-3.31 (0 / 8.92)	0.03 (4.32 / 4.23)	-0.14 (6.29 / 7.02)	-0.21 (6.58 / 7.75)	-	0.09 (3.91 / 3.61)
 	Percentile (%)	95.169	43.454	78.164	68.984	-	39.173
neutral amino acid transmembrane transporter activity	FC (WS / NS)	-3.32 (0 / 9)	-1.32 (0 / 1.49)	-1.4 (2.32 / 7.77)	-0.03 (5.95 / 6.11)	-	-2.68 (0 / 5.4)
 	Percentile (%)	95.216	82.373	93.454	55.46	-	99.724
alanine:sodium symporter activity	FC (WS / NS)	-3.32 (0 / 9)	-	-2.68 (0 / 5.43)	-2.58 (0 / 5)	-	-2.68 (0 / 5.4)
 	Percentile (%)	95.263	-	99.153	96.19	-	99.749
alanine transmembrane transporter activity	FC (WS / NS)	-3.32 (0 / 9)	-	-1.89 (1 / 6.43)	-1.81 (1 / 6)	-	-2.68 (0 / 5.4)
 	Percentile (%)	95.31	-	96.246	89.746	-	99.774
methylenetetrahydrofolate reductase (NAD(P)H) activity	FC (WS / NS)	-3.33 (0 / 9.05)	-2.2 (0 / 3.61)	-1.29 (1 / 3.91)	-1.32 (1 / 4)	-	-1.39 (1 / 4.23)
 	Percentile (%)	95.356	92.266	92.172	87.492	-	96.015
amino acid:sodium symporter activity	FC (WS / NS)	-3.33 (0 / 9.09)	-	-1.45 (2.32 / 8.08)	-1.57 (1.58 / 6.69)	-	-2.68 (0 / 5.4)
 	Percentile (%)	95.403	-	93.477	88.921	-	99.649
organic acid:sodium symporter activity	FC (WS / NS)	-3.33 (0 / 9.09)	-	-0.9 (4.46 / 9.21)	-1.33 (2.32 / 7.38)	-	-2.68 (0 / 5.4)
 	Percentile (%)	95.45	-	87.938	87.619	-	99.674
amino acid:cation symporter activity	FC (WS / NS)	-3.33 (0 / 9.09)	-	-1.25 (3.17 / 8.94)	-1.31 (2.32 / 7.24)	-	-2.68 (0 / 5.4)
 	Percentile (%)	95.497	-	92.012	87.46	-	99.699
symporter activity	FC (WS / NS)	-3.33 (0 / 9.09)	0.24 (7.47 / 6.15)	0.04 (15.38 / 14.93)	-0.18 (7.52 / 8.68)	-0.17 (-4.43 / -4.85)	-0.07 (5.93 / 6.26)
 	Percentile (%)	95.544	22.395	40.627	68.095	62.654	65.614
solute:cation symporter activity	FC (WS / NS)	-3.33 (0 / 9.09)	0.28 (7.13 / 5.69)	0.04 (14.97 / 14.5)	-0.21 (7.08 / 8.35)	-0.16 (-4.75 / -5.18)	-0.05 (5.7 / 5.95)
 	Percentile (%)	95.591	20.904	39.895	69.079	61.711	64.461
solute:sodium symporter activity	FC (WS / NS)	-3.33 (0 / 9.09)	0.03 (3 / 2.91)	-0.78 (5.36 / 9.94)	-1.22 (2.81 / 7.85)	-	-1.33 (1.58 / 5.52)
 	Percentile (%)	95.638	42.444	87.594	86.825	-	95.915
N-acetylglucosamine transmembrane transporter activity	FC (WS / NS)	-3.34 (0 / 9.1)	-	-2.37 (0 / 4.17)	-2.43 (0 / 4.39)	-	-2.42 (0 / 4.36)
 	Percentile (%)	95.685	-	98.123	94.54	-	99.398
oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor	FC (WS / NS)	-3.35 (0 / 9.2)	-0.43 (4.32 / 6.17)	0.06 (11.81 / 11.26)	-0.31 (5.58 / 7.15)	-0.37 (-7.43 / -9.3)	-0.34 (4.75 / 6.3)
 	Percentile (%)	95.826	66.579	36.027	73.873	79.333	81.128
phosphoribosylaminoimidazolesuccinocarboxamide synthase activity	FC (WS / NS)	-3.35 (0 / 9.21)	0.1 (5 / 4.61)	0.05 (5.29 / 5.09)	-	-	0.03 (5.7 / 5.55)
 	Percentile (%)	95.872	34.508	39.3	-	-	50.852
lysine 2,3-aminomutase activity	FC (WS / NS)	-3.36 (0 / 9.27)	-	-3.21 (0 / 8.28)	-3.13 (0 / 7.73)	-	-3.19 (0 / 8.13)
 	Percentile (%)	95.919	-	99.794	99.714	-	100
